radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.182,      11.338,       3.717, 1405,  155, 1451.644629,  182.146112,  373.315623,       0.000
      31.320,    6339.680,      13.180,      11.336,       3.716, 1405,  155, 1450.946989,  181.969777,  373.297552,       0.000
      62.641,    6308.359,      13.177,      11.334,       3.714, 1405,  155, 1450.232002,  181.789837,  373.226929,       0.000
      93.962,    6277.038,      13.174,      11.332,       3.713, 1405,  155, 1449.499628,  181.606439,  373.108201,       0.000
     125.282,    6245.718,      13.171,      11.330,       3.711, 1405,  155, 1448.751188,  181.419754,  372.941771,       0.000
     156.603,    6214.397,      13.168,      11.328,       3.710, 1405,  155, 1447.988737,  181.230037,  372.727739,       0.000
     187.923,    6183.077,      13.165,      11.325,       3.708, 1405,  155, 1447.214717,  181.037511,  372.466162,       0.000
     219.244,    6151.756,      13.162,      11.323,       3.707, 1405,  155, 1446.432302,  180.842229,  372.157090,       0.000
     250.564,    6120.436,      13.159,      11.321,       3.705, 1405,  155, 1445.646160,  180.643878,  371.800573,       0.000
     281.885,    6089.115,      13.155,      11.319,       3.704, 1405,  155, 1444.850104,  180.439672,  371.396669,       0.000
     313.205,    6057.795,      13.151,      11.316,       3.701, 1405,  155, 1443.803648,  180.183292,  370.945439,       0.000
     344.526,    6026.474,      13.147,      11.313,       3.699, 1405,  155, 1442.651103,  179.899560,  370.446952,       0.000
     375.846,    5995.154,      13.142,      11.309,       3.697, 1405,  155, 1441.389623,  179.589443,  369.901286,       0.000
     407.167,    5963.833,      13.137,      11.305,       3.694, 1405,  155, 1440.017199,  179.255297,  369.308522,       0.000
     438.487,    5932.513,      13.131,      11.301,       3.691, 1405,  155, 1438.536767,  178.895880,  368.668753,       0.000
     469.808,    5901.192,      13.125,      11.297,       3.688, 1405,  155, 1436.948469,  178.508947,  367.982075,       0.000
     501.128,    5869.872,      13.118,      11.292,       3.685, 1405,  155, 1435.257993,  178.094447,  367.248594,       0.000
     532.449,    5838.551,      13.111,      11.287,       3.681, 1405,  155, 1433.472350,  177.653024,  366.468423,       0.000
     563.769,    5807.231,      13.104,      11.282,       3.677, 1405,  155, 1431.586840,  177.185536,  365.641680,       0.000
     595.090,    5775.910,      13.096,      11.276,       3.673, 1405,  155, 1429.593474,  176.694773,  364.768494,       0.000
     626.410,    5744.590,      13.088,      11.270,       3.669, 1405,  155, 1427.486256,  176.181903,  363.848998,       0.000
     657.731,    5713.269,      13.080,      11.264,       3.665, 1405,  155, 1425.260821,  175.646592,  362.883334,       0.000
     689.051,    5681.949,      13.071,      11.257,       3.660, 1405,  155, 1422.922785,  175.083505,  361.871651,       0.000
     720.372,    5650.628,      13.061,      11.250,       3.655, 1405,  155, 1420.478723,  174.490027,  360.814105,       0.000
     751.692,    5619.308,      13.051,      11.243,       3.650, 1405,  155, 1417.925310,  173.869722,  359.710859,       0.000
     783.013,    5587.987,      13.041,      11.236,       3.645, 1405,  155, 1415.254564,  173.229001,  358.562084,       0.000
     814.333,    5556.667,      13.030,      11.228,       3.639, 1405,  155, 1412.469098,  172.566852,  357.367956,       0.000
     845.654,    5525.346,      13.018,      11.220,       3.634, 1405,  155, 1409.573773,  171.877868,  356.128661,       0.000
     876.974,    5494.026,      13.007,      11.211,       3.628, 1405,  155, 1406.578564,  171.157976,  354.844391,       0.000
     908.295,    5462.705,      12.995,      11.202,       3.621, 1405,  155, 1403.484108,  170.409646,  353.515344,       0.000
     939.615,    5431.385,      12.982,      11.193,       3.615, 1405,  155, 1400.283181,  169.639952,  352.141726,       0.000
     970.936,    5400.064,      12.968,      11.183,       3.608, 1405,  155, 1396.840015,  168.822875,  350.723751,       0.000
    1002.256,    5368.744,      12.955,      11.174,       3.601, 1405,  155, 1393.376086,  168.010321,  349.261638,       0.000
    1033.577,    5337.423,      12.941,      11.164,       3.594, 1405,  155, 1389.907536,  167.200396,  347.755613,       0.000
    1064.897,    5306.103,      12.928,      11.154,       3.588, 1405,  155, 1386.434846,  166.391443,  346.205911,       0.000
    1096.218,    5274.782,      12.914,      11.144,       3.581, 1405,  155, 1382.956235,  165.582673,  344.612773,       0.000
    1127.539,    5243.461,      12.900,      11.134,       3.574, 1405,  155, 1379.469972,  164.773654,  342.976446,       0.000
    1158.859,    5212.141,      12.887,      11.124,       3.567, 1405,  155, 1375.974305,  163.964151,  341.297184,       0.000
    1190.179,    5180.820,      12.873,      11.114,       3.560, 1405,  155, 1372.467611,  163.154116,  339.575248,       0.000
    1221.500,    5149.500,      12.859,      11.104,       3.553, 1405,  155, 1368.949360,  162.343764,  337.810907,       0.000
    1221.500,    5149.500,      12.422,      10.395,       0.000,57823,    0, 1342.323001,    0.000000,  337.806608,       0.000
    1279.410,    5091.590,      12.387,      10.357,       0.000,57823,    0, 1328.677253,    0.000000,  334.549263,       0.000
    1337.321,    5033.680,      12.352,      10.318,       0.000,57823,    0, 1315.054160,    0.000000,  330.854784,       0.000
    1395.231,    4975.769,      12.316,      10.280,       0.000,57823,    0, 1301.456067,    0.000000,  326.167154,       0.000
    1453.141,    4917.859,      12.280,      10.241,       0.000,57823,    0, 1287.887656,    0.000000,  322.152581,       0.000
    1511.051,    4859.949,      12.244,      10.202,       0.000,57823,    0, 1274.355227,    0.000000,  318.168193,       0.000
    1568.961,    4802.039,      12.208,      10.163,       0.000,57823,    0, 1260.865363,    0.000000,  313.850994,       0.000
    1626.872,    4744.128,      12.172,      10.123,       0.000,57823,    0, 1247.424320,    0.000000,  309.630941,       0.000
    1684.782,    4686.218,      12.136,      10.084,       0.000,57823,    0, 1234.036881,    0.000000,  305.204010,       0.000
    1742.692,    4628.308,      12.099,      10.044,       0.000,57823,    0, 1220.658255,    0.000000,  300.772925,       0.000
    1800.603,    4570.397,      12.060,      10.002,       0.000,57823,    0, 1206.328152,    0.000000,  296.217510,       0.000
    1858.513,    4512.487,      12.018,       9.957,       0.000,57823,    0, 1191.623747,    0.000000,  291.861039,       0.000
    1916.423,    4454.577,      11.975,       9.912,       0.000,57823,    0, 1176.537547,    0.000000,  287.130836,       0.000
    1974.333,    4396.667,      11.931,       9.865,       0.000,57823,    0, 1161.065395,    0.000000,  282.245360,       0.000
    2032.244,    4338.756,      11.884,       9.816,       0.000,57823,    0, 1145.205407,    0.000000,  277.480338,       0.000
    2090.154,    4280.846,      11.836,       9.766,       0.000,57823,    0, 1128.959216,    0.000000,  272.508609,       0.000
    2148.064,    4222.936,      11.787,       9.715,       0.000,57823,    0, 1112.329708,    0.000000,  267.438732,       0.000
    2205.974,    4165.026,      11.735,       9.661,       0.000,57823,    0, 1095.321600,    0.000000,  262.349698,       0.000
    2263.885,    4107.115,      11.681,       9.606,       0.000,57823,    0, 1077.938433,    0.000000,  257.202390,       0.000
    2321.795,    4049.205,      11.626,       9.549,       0.000,57823,    0, 1060.186823,    0.000000,  251.881127,       0.000
    2379.705,    3991.295,      11.569,       9.491,       0.000,57823,    0, 1042.075061,    0.000000,  246.593319,       0.000
    2437.615,    3933.385,      11.510,       9.431,       0.000,57823,    0, 1023.610383,    0.000000,  241.148935,       0.000
    2495.526,    3875.474,      11.448,       9.368,       0.000,57823,    0, 1004.800277,    0.000000,  235.674902,       0.000
    2553.436,    3817.564,      11.385,       9.305,       0.000,57823,    0,  985.656752,    0.000000,  230.082249,       0.000
    2611.346,    3759.654,      11.320,       9.239,       0.000,57823,    0,  966.187157,    0.000000,  224.512255,       0.000
    2669.256,    3701.744,      11.252,       9.171,       0.000,57823,    0,  946.391943,    0.000000,  218.894199,       0.000
    2727.167,    3643.833,      11.182,       9.101,       0.000,57823,    0,  926.270679,    0.000000,  213.216199,       0.000
    2785.077,    3585.923,      11.110,       9.029,       0.000,57823,    0,  905.830031,    0.000000,  207.451185,       0.000
    2842.987,    3528.013,      11.036,       8.955,       0.000,57823,    0,  885.089609,    0.000000,  201.704846,       0.000
    2900.897,    3470.103,      10.959,       8.880,       0.000,57823,    0,  864.086747,    0.000000,  195.849372,       0.000
    2958.808,    3412.192,      10.880,       8.802,       0.000,57823,    0,  842.871363,    0.000000,  189.966451,       0.000
    3016.718,    3354.282,      10.796,       8.719,       0.000,57823,    0,  820.800884,    0.000000,  184.009193,       0.000
    3074.628,    3296.372,      10.712,       8.637,       0.000,57823,    0,  799.021042,    0.000000,  178.007661,       0.000
    3132.539,    3238.461,      10.627,       8.554,       0.000,57823,    0,  777.577558,    0.000000,  171.988334,       0.000
    3190.449,    3180.551,      10.543,       8.471,       0.000,57823,    0,  756.467420,    0.000000,  165.940355,       0.000
    3248.359,    3122.641,      10.458,       8.387,       0.000,57823,    0,  735.683263,    0.000000,  159.844313,       0.000
    3306.269,    3064.731,      10.372,       8.304,       0.000,57823,    0,  715.217543,    0.000000,  153.724047,       0.000
    3364.180,    3006.820,      10.287,       8.220,       0.000,57823,    0,  695.062953,    0.000000,  147.612673,       0.000
    3422.090,    2948.910,      10.201,       8.136,       0.000,57823,    0,  675.215509,    0.000000,  141.459729,       0.000
    3480.000,    2891.000,      10.114,       8.051,       0.000,57823,    0,  655.674330,    0.000000,  135.320945,       0.000
    3480.000,    2891.000,       5.564,      14.048,       7.545,57823,57827,  675.668992,  316.722427,  135.317105,    2762.425
    3485.014,    2885.986,       5.561,      14.042,       7.542,57823,57202,  674.703931,  316.351118,  135.019251,    2760.743
    3490.029,    2880.971,       5.559,      14.035,       7.539,57823,56583,  673.739342,  315.980356,  134.722917,    2759.061
    3495.043,    2875.957,       5.556,      14.029,       7.537,57823,55967,  672.775628,  315.610271,  134.422905,    2757.379
    3500.057,    2870.943,       5.554,      14.023,       7.534,57823,55357,  671.812633,  315.240748,  134.124316,    2755.698
    3505.071,    2865.929,       5.551,      14.017,       7.531,57823,54751,  670.850404,  314.871742,  133.822964,    2754.018
    3510.086,    2860.914,       5.549,      14.011,       7.529,57823,54150,  669.888802,  314.503129,  133.524229,    2752.337
    3515.100,    2855.900,       5.546,      14.005,       7.526,57823,53554,  668.928256,  314.135038,  133.219979,    2750.657
    3520.114,    2850.886,       5.543,      13.999,       7.523,57823,52962,  667.968056,  313.768093,  132.921637,    2748.977
    3525.129,    2845.871,       5.541,      13.993,       7.521,57823,52375,  667.001966,  313.405551,  132.622888,    2747.298
    3530.143,    2840.857,       5.538,      13.987,       7.518,57823,51793,  666.029049,  313.044567,  132.331440,    2745.619
    3535.157,    2835.843,       5.536,      13.980,       7.516,57823,51215,  665.046622,  312.684558,  132.032392,    2743.940
    3540.171,    2830.829,       5.533,      13.974,       7.513,57823,50641,  664.054272,  312.325137,  131.734594,    2742.262
    3545.186,    2825.814,       5.531,      13.968,       7.510,57823,50072,  663.052532,  311.966052,  131.436839,    2740.583
    3550.200,    2820.800,       5.528,      13.961,       7.508,57823,49508,  662.042771,  311.607483,  131.141431,    2738.905
    3555.214,    2815.786,       5.526,      13.955,       7.505,57823,48948,  661.025838,  311.249650,  130.845577,    2737.228
    3560.229,    2810.771,       5.523,      13.948,       7.503,57823,48393,  660.002677,  310.892856,  130.549083,    2735.550
    3565.243,    2805.757,       5.520,      13.942,       7.500,57823,47842,  658.974974,  310.537292,  130.252408,    2733.873
    3570.257,    2800.743,       5.518,      13.935,       7.498,57823,47296,  657.944171,  310.182859,  129.958760,    2732.197
    3575.271,    2795.729,       5.515,      13.929,       7.495,57823,46754,  656.912463,  309.829853,  129.662201,    2730.521
    3580.286,    2790.714,       5.513,      13.922,       7.493,57823,46216,  655.881182,  309.478830,  129.366703,    2728.845
    3585.300,    2785.700,       5.510,      13.916,       7.490,57823,45683,  654.850341,  309.130777,  129.071694,    2727.170
    3590.314,    2780.686,       5.508,      13.909,       7.488,57823,45154,  653.830377,  308.777334,  128.776084,    2725.497
    3595.329,    2775.671,       5.505,      13.903,       7.484,57823,44630,  652.869749,  308.381387,  128.487317,    2723.825
    3600.343,    2770.657,       5.503,      13.896,       7.481,57823,44110,  651.934507,  307.967630,  128.192526,    2722.155
    3605.357,    2765.643,       5.500,      13.890,       7.478,57823,43594,  650.981549,  307.567155,  127.902134,    2720.489
    3610.371,    2760.629,       5.497,      13.883,       7.475,57823,43082,  650.023438,  307.168022,  127.604336,    2718.827
    3615.386,    2755.614,       5.495,      13.876,       7.472,57823,42575,  649.055459,  306.772331,  127.308542,    2717.171
    3620.400,    2750.600,       5.492,      13.870,       7.469,57823,42072,  648.077059,  306.379967,  127.018282,    2715.523
    3625.414,    2745.586,       5.490,      13.863,       7.466,57823,41574,  647.102919,  305.979314,  126.728672,    2713.873
    3630.429,    2740.571,       5.487,      13.856,       7.462,57823,41079,  646.142483,  305.564118,  126.436872,    2712.211
    3635.443,    2735.557,       5.485,      13.849,       7.459,57823,40589,  645.195196,  305.137230,  126.147055,    2710.516
    3640.457,    2730.543,       5.482,      13.842,       7.455,57823,40103,  644.242360,  304.713176,  125.856872,    2708.765
    3645.471,    2725.529,       5.480,      13.836,       7.452,57823,39621,  643.280693,  304.291034,  125.567051,    2706.933
    3650.486,    2720.514,       5.478,      13.829,       7.448,57823,39143,  642.305648,  303.886613,  125.276251,    2704.991
    3655.500,    2715.500,       5.475,      13.821,       7.445,57823,38669,  641.319630,  303.496627,  124.984583,    2702.915
    3660.514,    2710.486,       5.473,      13.815,       7.442,57823,38200,  640.370731,  303.126525,  124.695695,    2700.680
    3665.529,    2705.471,       5.471,      13.810,       7.439,57823,37735,  639.685853,  302.756650,  124.407679,    2698.261
    3670.543,    2700.457,       5.469,      13.805,       7.436,57823,37273,  639.057182,  302.386238,  124.116991,    2695.592
    3675.557,    2695.443,       5.467,      13.800,       7.433,57823,36816,  638.345178,  302.015432,  123.830619,    2692.500
    3680.571,    2690.429,       5.464,      13.794,       7.430,57823,36363,  637.608225,  301.643848,  123.541685,    2688.763
    3685.586,    2685.414,       5.462,      13.789,       7.427,57823,35913,  636.858975,  301.271884,  123.253078,    2684.379
    3690.600,    2680.400,       5.460,      13.783,       7.424,57823,35468,  636.077794,  300.899036,  122.965617,    2679.754
    3695.614,    2675.386,       5.457,      13.778,       7.421,57823,35027,  635.238175,  300.525198,  122.677916,    2674.872
    3700.629,    2670.371,       5.455,      13.773,       7.418,57823,34590,  634.578127,  300.148654,  122.390440,    2671.282
    3705.643,    2665.357,       5.452,      13.769,       7.413,57823,34156,  634.246977,  299.625502,  122.103550,    2668.065
    3710.657,    2660.343,       5.449,      13.766,       7.406,57823,33727,  634.096426,  298.927372,  121.817178,    2665.004
    3715.671,    2655.329,       5.446,      13.764,       7.399,57823,33301,  634.228883,  298.113767,  121.530750,    2662.213
    3720.686,    2650.314,       5.442,      13.764,       7.391,57823,32880,  634.624764,  297.296859,  121.246346,    2659.497
    3725.700,    2645.300,       5.438,      13.764,       7.384,57823,32462,  634.840344,  296.471756,  120.959267,    2656.813
    3730.714,    2640.286,       5.433,      13.763,       7.375,57823,32048,  635.055109,  295.531917,  120.674729,    2654.177
    3735.729,    2635.271,       5.428,      13.761,       7.365,57823,31638,  635.359317,  294.452985,  120.388383,    2651.543
    3740.743,    2630.257,       5.422,      13.760,       7.353,57823,31232,  635.751384,  293.182183,  120.102697,    2648.952
    3745.757,    2625.243,       5.416,      13.759,       7.339,57823,30829,  636.271821,  291.740061,  119.820652,    2646.298
    3750.771,    2620.229,       5.409,      13.758,       7.325,57823,30431,  636.883497,  290.267356,  119.533852,    2643.580
    3755.786,    2615.214,       5.403,      13.758,       7.311,57823,30036,  637.655917,  288.833785,  119.250676,    2640.963
    3760.800,    2610.200,       5.398,      13.758,       7.297,57823,29645,  638.442367,  287.388056,  118.968040,    2638.096
    3765.814,    2605.186,       5.392,      13.757,       7.283,57823,29257,  639.200730,  285.962490,  118.686673,    2635.033
    3770.829,    2600.171,       5.386,      13.757,       7.269,57823,28873,  639.890203,  284.594362,  118.404335,    2632.251
    3775.843,    2595.157,       5.380,      13.756,       7.257,57823,28493,  640.351121,  283.389256,  118.124099,    2628.855
    3780.857,    2590.143,       5.375,      13.756,       7.247,57823,28117,  640.695391,  282.260871,  117.844888,    2625.112
    3785.871,    2585.129,       5.370,      13.755,       7.237,57823,27744,  640.970369,  281.243225,  117.564119,    2622.198
    3790.886,    2580.114,       5.365,      13.754,       7.228,57823,27375,  641.135638,  280.302390,  117.284789,    2618.302
    3795.900,    2575.100,       5.361,      13.750,       7.220,57823,27009,  640.813872,  279.469467,  117.006860,    2614.368
    3800.914,    2570.086,       5.356,      13.743,       7.214,57823,26647,  639.982726,  278.737563,  116.727116,    2611.885
    3805.929,    2565.071,       5.352,      13.737,       7.209,57823,26289,  639.087552,  278.143698,  116.448828,    2608.665
    3810.943,    2560.057,       5.348,      13.732,       7.204,57823,25934,  638.296776,  277.564981,  116.171499,    2605.909
    3815.957,    2555.043,       5.344,      13.727,       7.199,57823,25583,  637.723203,  276.966347,  115.891749,    2604.112
    3820.971,    2550.029,       5.341,      13.723,       7.193,57823,25235,  637.283217,  276.333059,  115.613994,    2602.077
    3825.986,    2545.014,       5.338,      13.718,       7.187,57823,24891,  636.782362,  275.744624,  115.337134,    2600.316
    3831.000,    2540.000,       5.335,      13.713,       7.183,57823,24550,  636.297353,  275.263810,  115.059662,    2598.798
    3841.005,    2529.995,       5.331,      13.703,       7.176,57823,23880,  634.974193,  274.522664,  114.507973,    2595.771
    3851.010,    2519.990,       5.326,      13.692,       7.171,57823,23224,  633.288197,  273.915488,  113.958269,    2592.859
    3861.014,    2509.986,       5.321,      13.681,       7.167,57823,22581,  631.418486,  273.366339,  113.405866,    2589.970
    3871.019,    2499.981,       5.317,      13.669,       7.163,57823,21952,  629.545785,  272.817849,  112.858717,    2587.092
