radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.004,      11.210,       3.627, 1254,   51, 1406.104337,  171.065232,  353.707565,       0.000
      31.320,    6339.680,      13.001,      11.208,       3.626, 1254,   51, 1405.420570,  170.896605,  353.689982,       0.000
      62.641,    6308.359,      12.998,      11.206,       3.624, 1254,   51, 1404.719792,  170.724633,  353.621264,       0.000
      93.962,    6277.038,      12.995,      11.204,       3.623, 1254,   51, 1404.001864,  170.549470,  353.505738,       0.000
     125.282,    6245.718,      12.992,      11.202,       3.621, 1254,   51, 1403.268074,  170.371274,  353.343796,       0.000
     156.603,    6214.397,      12.989,      11.200,       3.620, 1254,   51, 1402.520440,  170.190259,  353.135536,       0.000
     187.923,    6183.077,      12.986,      11.198,       3.618, 1254,   51, 1401.761402,  170.006588,  352.881014,       0.000
     219.244,    6151.756,      12.983,      11.196,       3.617, 1254,   51, 1400.994378,  169.820243,  352.580278,       0.000
     250.564,    6120.436,      12.980,      11.194,       3.615, 1254,   51, 1400.224327,  169.630909,  352.233378,       0.000
     281.885,    6089.115,      12.977,      11.192,       3.613, 1254,   51, 1399.445782,  169.435920,  351.840370,       0.000
     313.205,    6057.795,      12.973,      11.189,       3.611, 1254,   51, 1398.421168,  169.191524,  351.401313,       0.000
     344.526,    6026.474,      12.968,      11.185,       3.609, 1254,   51, 1397.290419,  168.922397,  350.916276,       0.000
     375.846,    5995.154,      12.963,      11.182,       3.607, 1254,   51, 1396.051734,  168.628995,  350.385334,       0.000
     407.167,    5963.833,      12.958,      11.178,       3.604, 1254,   51, 1394.703258,  168.312636,  349.808567,       0.000
     438.487,    5932.513,      12.952,      11.174,       3.601, 1254,   51, 1393.247463,  167.971486,  349.186065,       0.000
     469.808,    5901.192,      12.946,      11.169,       3.598, 1254,   51, 1391.684318,  167.602836,  348.517924,       0.000
     501.128,    5869.872,      12.940,      11.165,       3.595, 1254,   51, 1390.023113,  167.206440,  347.804245,       0.000
     532.449,    5838.551,      12.933,      11.160,       3.591, 1254,   51, 1388.268247,  166.783801,  347.045140,       0.000
     563.769,    5807.231,      12.926,      11.154,       3.587, 1254,   51, 1386.411924,  166.336888,  346.240726,       0.000
     595.090,    5775.910,      12.918,      11.149,       3.583, 1254,   51, 1384.447982,  165.868596,  345.391126,       0.000
     626.410,    5744.590,      12.910,      11.143,       3.579, 1254,   51, 1382.372370,  165.379483,  344.496472,       0.000
     657.731,    5713.269,      12.902,      11.136,       3.575, 1254,   51, 1380.179906,  164.869103,  343.556902,       0.000
     689.051,    5681.949,      12.893,      11.130,       3.570, 1254,   51, 1377.872663,  164.332520,  342.572563,       0.000
